#node	EN	LPP	QT
N257	95.0	0.3202206814133686	0.33091829294637776
N258	159.0	0.9987425685859366	0.481188288748855
N259	170.0	1.0	0.7110001560849589
N260	174.0	0.9999995049349519	0.5233793810596883
N261	190.0	0.999998947311187	0.5107968842692115
N262	245.0	0.4355819077036972	0.34649825548610863
N263	148.0	1.0	0.8140847405659524
N264	146.0	0.9999769094957551	0.5158449666536055
N265	183.0	0.9562326692143026	0.4218437843877631
N266	130.0	1.0	0.9113334874254445
N267	155.0	0.8410740822587496	0.3971239179010106
N268	66.26483674714686	0.9620940953496234	0.46655798791859265
N269	93.0	0.9845009672470286	0.4635339296722459
N270	119.0	0.6417258131848855	0.385353764958474
N271	59.0	0.9992380206362641	0.559322033898305
N272	109.0	0.9984669842822141	0.49463027649018787
N273	150.0	1.0	0.8720961301775083
N274	177.0	1.0	0.6899470278445721
N275	158.0	0.9822148048250328	0.43035492138493475
N276	154.0	0.9996098020859828	0.4785979999376964
N277	96.0	0.9999999080811136	0.6055509653647135
N278	164.0	1.0	0.9503337192147222
N279	185.0	0.9999926154606122	0.49742548362051725
N280	135.0	1.0	0.9852285109810238
N281	118.0	1.0	0.9872280395440478
N282	68.0	0.9999862411991722	0.604516806722689
N283	133.0	1.0	0.9692590108870334
N284	155.0	0.4712305616975345	0.3811419078956026
N285	78.0	0.8535483449631468	0.42008537826129644
N286	94.0	0.6798747637255643	0.38465290766579935
N287	107.0	1.0	0.934588103326767
N288	110.0	1.0	1.0
N289	109.0	1.0	0.9770665944878151
N290	128.0	1.0	0.9135922161315344
N291	139.0	1.0	0.9752121065242464
N292	104.0	0.9983674508699586	0.505554323055145
N293	104.0	0.999999999997062	0.6735940784985464
N294	40.0	0.8025989874358728	0.475
N295	47.49783849591328	0.9998427775486071	0.621046551254974
N296	123.0	0.9928677530875437	0.4605955809605956
N297	106.0	0.9169140926091656	0.4241929713432459
N298	150.0	1.0	0.9483397820030774
N299	154.0	0.9999999999999994	0.6569877456013681
N300	102.0	1.0	0.9197061428244454
