rank	name	count	mono_strict	mono_relaxed	t2t_consistency	quartet	markers
class	MGII	13	no	yes	1	1	143.5
class	MSB-5A5	4	no	yes	1	1	247.8
class	Mahellia	5	yes	yes	1	1	310.4
class	Marinisomatia	8	no	yes	1	0.999	228.0
class	Methanobacteria	34	yes	yes	1	1	183.4
class	Methanococci	19	yes	yes	1	1	171.8
class	Methanomethylicia	4	yes	yes	1	1	157.8
class	Methanomicrobia	28	no	yes	1	1	196.0
class	Methanosarcinia	88	no	yes	1	1	213.4
class	Methylomirabilia	2	no	yes	1	1	288.5
class	Micrarchaeia	2	yes	yes	1	1	125.0
class	Microgenomatia	242	no	yes	1	0.978	151.5
class	Moduliflexia	2	yes	yes	1	1	346.5
class	Moorellia	6	no	no	0.667	0.995	334.3
class	Myxococcia	11	yes	yes	1	1	370.7
class	Negativicutes	73	yes	yes	1	1	331.0
class	Nitrososphaeria	47	no	no	0.936	0.995	163.9
class	Nitrospinia	2	no	yes	1	0.999	308.5
class	Nitrospiria	10	no	yes	1	1	283.3
class	O2-12-FULL-43-9	6	yes	yes	1	1	278.0
class	Oligoflexia	2	yes	yes	1	1	346.0
class	Omnitrophia	6	no	yes	1	1	282.0
class	Paceibacteria	455	no	yes	1	0.978	141.1
class	Peptococcia	4	no	no	0.75	0.994	332.0
class	Phycisphaerae	10	no	yes	1	0.999	298.7
class	Planctomycetes	31	yes	yes	1	1	343.6
class	Polyangia	11	no	yes	1	1	353.0
class	RBG-13-55-18	3	yes	yes	1	1	259.0
class	Rhodothermia	10	yes	yes	1	1	339.2
class	Rubrobacteria	3	yes	yes	1	1	334.3
class	SAR324	14	no	yes	1	0.999	308.8
class	SHA-98	2	yes	yes	1	1	274.0
class	Saccharimonadia	15	no	yes	1	1	155.1
class	Spirochaetia	91	no	yes	1	0.999	241.4
class	Synergistia	27	no	yes	1	1	309.6
class	Syntrophia	12	no	yes	1	1	297.5
class	Syntrophobacteria	3	yes	yes	1	1	350.7
class	Syntrophomonadia	13	yes	yes	1	1	317.9
class	Thermaerobacteria	2	yes	yes	1	1	345.5
class	Thermoanaerobacteria	24	no	no	0.828	1	326.5
class	Thermococci	46	yes	yes	1	1	175.0
class	Thermodesulfobacteria	10	yes	yes	1	1	303.7
class	Thermodesulfovibrionia	21	no	yes	1	0.999	298.1
class	Thermoleophilia	9	yes	yes	1	1	346.1
class	Thermoplasmata	18	yes	yes	1	1	181.7
class	Thermoplasmata_A	18	no	yes	1	1	180.3
class	Thermoprotei	161	no	yes	1	1	172.9
class	Thermotogae	35	yes	yes	1	1	299.5
class	Thermovenabulia	9	yes	yes	1	1	311.8
class	UBA10030	2	yes	yes	1	1	322.0
class	UBA10199	8	no	yes	1	1	284.0
class	UBA2214	2	no	yes	1	1	308.5
class	UBA8919	2	yes	yes	1	1	272.0
class	UBA9217	3	yes	yes	1	1	309.0
class	UBA9942	7	no	yes	1	1	296.9
class	Vampirovibrionia	27	no	yes	1	1	287.6
class	Verrucomicrobiae	42	no	yes	1	0.998	322.3
class	WOR-1	25	no	yes	1	1	283.4
class	WOR-3	2	no	yes	1	1	266.0
class	WWE3	51	no	yes	1	0.999	139.9
class	Woesearchaeia	2	yes	yes	1	1	135.0
class	XYA12-FULL-58-9	2	yes	yes	1	1	337.5
class	Zetaproteobacteria	5	no	yes	1	1	336.6
class	koll11	21	no	yes	1	1	245.2
order	2-02-FULL-39-32	4	yes	yes	1	1	283.0
order	2-02-FULL-40-11	5	yes	yes	1	1	281.0
order	2-02-FULL-44-16	2	yes	yes	1	1	280.0
order	2-02-FULL-50-16	4	yes	yes	1	1	286.3
order	2-12-FULL-50-11	3	yes	yes	1	1	138.0
order	20CM-2-55-15	2	yes	yes	1	1	303.0
order	32-111	2	yes	yes	1	1	273.5
order	40CM-2-53-6	9	no	yes	1	1	142.3
order	4C28d-15	8	yes	yes	1	1	243.3
order	AB16	3	yes	yes	1	1	254.3
order	Acetivibrionales	18	no	yes	1	1	336.3
order	Acetobacterales	44	yes	yes	1	1	350.4
order	Acholeplasmatales	34	no	yes	1	1	211.6
order	Acidaminococcales	12	yes	yes	1	1	322.1
order	Acidiferrobacterales	3	yes	yes	1	1	330.0
order	Acidimicrobiales	6	yes	yes	1	1	321.0
order	Acidiprofundales	3	yes	yes	1	1	160.3
order	Acidithiobacillales	20	yes	yes	1	1	346.4
order	Acidobacteriales	18	no	yes	1	1	352.2
order	Actinomycetales	353	yes	yes	1	1	317.5
order	Aerophobales	2	no	yes	1	1	251.0
order	Alicyclobacillales	12	yes	yes	1	1	354.1
order	Ammonifexales	3	yes	yes	1	1	309.3
order	Anaerolineales	26	no	yes	1	0.998	289.1
order	Anaeromusales	2	yes	yes	1	1	353.5
order	Aneurinibacillales	11	yes	yes	1	1	380.7
order	Aquificales	7	yes	yes	1	1	308.1
order	Archaeoglobales	21	yes	yes	1	1	178.1
order	Azambacterales	21	no	no	0.619	0.961	134.3
order	Azospirillales	12	yes	yes	1	1	373.9
order	B142	2	yes	yes	1	1	170.0
order	B25	2	yes	yes	1	1	165.0
order	B26-1	5	yes	yes	1	1	143.8
order	BSN033	3	no	yes	1	1	295.7
order	Babeliales	18	no	yes	1	1	162.1
order	Bacillales	242	no	no	0.867	0.995	373.0
order	Bacillales_A	37	no	yes	1	1	360.6
order	Bacteriovoracales	16	no	yes	1	1	297.7
order	Bacteroidales	288	no	yes	1	0.999	309.7
order	Balneolales	7	yes	yes	1	1	338.9
order	Bdellovibrionales	13	yes	yes	1	1	315.1
order	Beggiatoales	4	no	yes	1	1	344.8
order	Berkiellales	2	yes	yes	1	1	334.0
order	Betaproteobacteriales	328	no	yes	1	0.999	351.3
order	Bipolaricaulales	7	yes	yes	1	1	241.7
order	Borreliales	43	yes	yes	1	1	178.9
order	Brachyspirales	4	yes	yes	1	1	308.5
order	Brevibacillales	26	yes	yes	1	1	377.2
order	Brevinematales	3	yes	yes	1	1	276.7
order	Brocadiales	11	no	yes	1	0.999	286.5
order	Buchananbacterales	4	no	yes	1	0.999	156.0
order	C00003060	3	yes	yes	1	1	307.0
order	CAG-41	2	yes	yes	1	1	298.0
order	CG1-02-37-114	2	no	yes	1	1	273.0
order	CPR2	7	yes	yes	1	1	168.4
order	Caenarcaniphilales	4	yes	yes	1	1	300.3
order	Caldalkalibacillales	2	yes	yes	1	1	370.5
order	Caldanaerobiales	2	yes	yes	1	1	330.0
order	Caldiarchaeales	2	yes	yes	1	1	141.5
order	Caldicellulosiruptorales	10	yes	yes	1	1	328.8
order	Caldicoprobacterales	4	yes	yes	1	1	304.0
order	Caldisericales	2	yes	yes	1	1	240.0
order	Calescibacteriales	3	no	yes	1	1	271.7
order	Campylobacterales	104	no	yes	1	1	308.9
order	Carboxydothermales	2	yes	yes	1	1	334.0
order	Cardiobacteriales	11	yes	yes	1	1	329.1
order	Caulobacterales	46	yes	yes	1	1	346.1
order	Chitinivibrionales	3	yes	yes	1	1	300.7
order	Chitinophagales	63	no	yes	1	0.999	343.3
order	Chlamydiales	77	yes	yes	1	1	218.7
order	Chlorobiales	13	yes	yes	1	1	334.5
order	Chloroflexales	12	yes	yes	1	1	350.3
order	Christensenellales	8	yes	yes	1	1	285.5
order	Chromatiales	53	no	yes	1	1	344.8
order	Chrysiogenales	2	yes	yes	1	1	349.0
order	Chthoniobacterales	4	no	yes	1	1	304.5
order	Chthonomonadales	4	yes	yes	1	1	341.5
order	Cloacimonadales	5	no	yes	1	1	254.4
order	Clostridiales	80	yes	yes	1	1	321.0
order	Competibacterales	2	yes	yes	1	1	359.5
order	Coprothermobacterales	2	no	yes	1	1	268.5
order	Coriobacteriales	63	yes	yes	1	1	285.1
order	Corynebacteriales	367	yes	yes	1	1	337.6
order	Coxiellales	13	no	yes	1	1	276.0
order	Curtissbacterales	8	no	yes	1	0.998	152.8
order	Cyanobacteriales	166	no	yes	1	0.999	351.7
order	Cytophagales	107	yes	yes	1	1	343.4
order	DRI-13	2	yes	yes	1	1	325.5
order	DTU010	2	yes	yes	1	1	274.0
order	DTU086	2	yes	yes	1	1	298.0
order	Daviesbacterales	17	no	yes	1	0.998	150.0
order	Deferribacterales	7	yes	yes	1	1	344.0
order	Dehalococcoidales	34	no	yes	1	1	260.5
order	Deinococcales	41	yes	yes	1	1	350.4
order	Desulfarculales	3	yes	yes	1	1	349.7
order	Desulfatiglanales	3	yes	yes	1	1	347.3
order	Desulfitibacterales	2	yes	yes	1	1	361.5
order	Desulfitobacteriales	20	yes	yes	1	1	360.9
order	Desulfobacterales	24	no	yes	1	0.999	344.4
order	Desulfobulbales	17	no	yes	1	1	345.8
order	Desulfofervidales	2	yes	yes	1	1	267.5
order	Desulfotomaculales	16	no	yes	1	1	330.1
order	Desulfovibrionales	59	yes	yes	1	1	344.9
order	Desulfurellales	5	yes	yes	1	1	324.6
order	Desulfurobacteriales	4	yes	yes	1	1	305.3
order	Desulfurococcales	26	yes	yes	1	1	143.9
order	Desulfuromonadales	12	yes	yes	1	1	355.5
order	Dethiobacterales	2	yes	yes	1	1	321.0
order	Dictyoglomales	2	yes	yes	1	1	304.5
order	Diplorickettsiales	4	yes	yes	1	1	266.3
order	Ectothiorhodospirales	15	yes	yes	1	1	350.5
order	Elsterales	2	no	no	0.5	0.998	362.5
order	Elusimicrobiales	9	no	yes	1	1	282.3
order	Endomicrobiales	9	yes	yes	1	1	286.8
order	Enterobacterales	482	no	yes	1	0.999	344.3
order	Erysipelotrichales	60	yes	yes	1	1	307.9
order	Eubacteriales	8	yes	yes	1	1	335.5
order	Eurycoccales	3	yes	yes	1	1	340.7
order	Exiguobacterales	9	yes	yes	1	1	354.9
order	Falkowbacterales	18	no	yes	1	1	168.2
order	Fibrobacterales	22	yes	yes	1	1	309.0
order	Fimbriimonadales	2	yes	yes	1	1	343.5
order	Flavobacteriales	288	no	yes	1	1	324.3
order	Francisellales	55	yes	yes	1	1	310.9
order	Frankiales	8	yes	yes	1	1	340.1
order	Fusobacteriales	36	yes	yes	1	1	300.6
order	GBS-1	2	yes	yes	1	1	289.5
order	GIF10	8	no	yes	1	1	222.8
order	GIF9	4	no	yes	1	0.999	221.5
order	GWA2-38-11	6	no	yes	1	1	306.2
order	GWA2-44-7	61	no	yes	1	0.991	140.0
order	GWA2-46-9	6	yes	yes	1	1	163.5
order	GWA2-58-10	2	yes	yes	1	1	293.5
order	GWC2-55-46	16	no	yes	1	1	302.0
order	Gastranaerophilales	20	no	yes	1	1	277.8
order	Gemmatales	2	yes	yes	1	1	346.5
order	Gemmatimonadales	3	yes	yes	1	1	358.3
