G000011065	RS_GCF_000011065.1
G000011105	RS_GCF_000011105.1
G000011125	GB_GCA_000011125.1
G000011165	RS_GCF_000011165.1
G000011185	RS_GCF_000011185.1
G000011205	RS_GCF_000011205.1
G000011225	RS_GCF_000011225.1
G000011245	RS_GCF_000011245.1
G000011305	RS_GCF_000011305.1
G000011345	RS_GCF_000011345.1
G000011365	RS_GCF_000011365.1
G000011385	RS_GCF_000011385.1
G000011405	RS_GCF_000011405.1
G000011465	RS_GCF_000011465.1
G000011485	RS_GCF_000011485.1
G000011545	RS_GCF_000011545.1
G000011565	RS_GCF_000011565.1
G000011645	RS_GCF_000011645.1
G000011685	RS_GCF_000011685.1
G000011705	RS_GCF_000011705.1
G000011745	RS_GCF_000011745.1
G000011805	RS_GCF_000011805.1
G000011905	RS_GCF_000011905.1
G000011945	RS_GCF_000011945.1
G000011965	RS_GCF_000011965.2
G000011985	RS_GCF_000011985.1
G000012005	RS_GCF_000012005.1
G000012065	RS_GCF_000012065.2
G000012085	RS_GCF_000012085.2
G000012145	RS_GCF_000012145.1
G000012225	RS_GCF_000012225.1
G000012245	RS_GCF_000012245.1
G000012285	RS_GCF_000012285.1
G000012305	RS_GCF_000012305.1
G000012325	RS_GCF_000012325.1
G000012345	RS_GCF_000012345.1
G000012385	RS_GCF_000012385.1
G000012405	RS_GCF_000012405.1
G000012425	RS_GCF_000012425.1
G000012465	RS_GCF_000012465.1
G000012485	RS_GCF_000012485.1
G000012505	RS_GCF_000012505.1
G000012525	RS_GCF_000012525.1
G000012545	RS_GCF_000012545.1
G000012565	RS_GCF_000012565.1
G000012585	RS_GCF_000012585.1
G000012605	RS_GCF_000012605.1
G000012645	RS_GCF_000012645.1
G000012665	RS_GCF_000012665.1
G000012685	RS_GCF_000012685.1
G000012725	RS_GCF_000012725.1
G000012745	RS_GCF_000012745.1
G000012805	RS_GCF_000012805.1
G000012825	RS_GCF_000012825.1
G000012845	RS_GCF_000012845.1
G000012865	RS_GCF_000012865.1
G000012885	RS_GCF_000012885.1
G000012905	RS_GCF_000012905.2
G000012925	RS_GCF_000012925.1
G000012965	RS_GCF_000012965.1
G000012985	RS_GCF_000012985.1
G000013005	RS_GCF_000013005.1
G000013025	RS_GCF_000013025.1
G000013045	RS_GCF_000013045.1
G000013085	RS_GCF_000013085.1
G000013105	RS_GCF_000013105.1
G000013125	RS_GCF_000013125.1
G000013145	RS_GCF_000013145.1
G000013165	RS_GCF_000013165.1
G000013185	RS_GCF_000013185.1
G000013205	RS_GCF_000013205.1
G000013225	RS_GCF_000013225.1
G000013285	RS_GCF_000013285.1
G000013325	RS_GCF_000013325.1
G000013345	RS_GCF_000013345.1
G000013365	RS_GCF_000013365.1
G000013405	RS_GCF_000013405.1
G000013445	RS_GCF_000013445.1
G000013565	RS_GCF_000013565.1
G000013605	RS_GCF_000013605.1
G000013625	RS_GCF_000013625.1
G000013645	RS_GCF_000013645.1
G000013665	RS_GCF_000013665.1
G000013705	RS_GCF_000013705.1
G000013725	RS_GCF_000013725.1
G000013745	RS_GCF_000013745.1
G000013765	RS_GCF_000013765.1
G000013865	RS_GCF_000013865.1
G000013885	RS_GCF_000013885.1
G000013945	RS_GCF_000013945.1
G000013985	RS_GCF_000013985.1
G000014005	RS_GCF_000014005.1
G000014025	RS_GCF_000014025.1
G000014045	RS_GCF_000014045.1
G000014125	RS_GCF_000014125.1
G000014145	RS_GCF_000014145.1
G000014185	RS_GCF_000014185.1
G000014205	RS_GCF_000014205.1
G000014225	RS_GCF_000014225.1
G000014245	RS_GCF_000014245.1
G000014265	RS_GCF_000014265.1
G000014285	RS_GCF_000014285.2
G000014345	RS_GCF_000014345.1
G000014385	RS_GCF_000014385.1
G000014425	RS_GCF_000014425.1
G000014445	RS_GCF_000014445.1
G000014465	RS_GCF_000014465.1
G000014505	RS_GCF_000014505.1
G000014525	RS_GCF_000014525.1
G000014565	RS_GCF_000014565.1
G000014585	RS_GCF_000014585.1
G000014605	RS_GCF_000014605.1
G000014705	RS_GCF_000014705.1
G000014725	RS_GCF_000014725.1
G000014745	RS_GCF_000014745.1
G000014765	RS_GCF_000014765.1
G000014785	RS_GCF_000014785.1
G000014805	RS_GCF_000014805.1
G000014825	RS_GCF_000014825.1
G000014865	RS_GCF_000014865.1
G000014885	RS_GCF_000014885.1
G000014905	RS_GCF_000014905.1
G000014925	RS_GCF_000014925.1
G000014945	GB_GCA_000014945.1
G000014965	RS_GCF_000014965.1
G000015005	RS_GCF_000015005.1
G000015025	RS_GCF_000015025.1
G000015045	RS_GCF_000015045.1
G000015105	RS_GCF_000015105.1
G000015125	RS_GCF_000015125.1
G000015145	RS_GCF_000015145.1
G000015205	RS_GCF_000015205.1
G000015225	RS_GCF_000015225.1
G000015245	RS_GCF_000015245.1
G000015265	RS_GCF_000015265.1
G000015285	RS_GCF_000015285.1
G000015305	RS_GCF_000015305.1
G000015345	RS_GCF_000015345.1
G000015405	RS_GCF_000015405.1
G000015445	RS_GCF_000015445.1
G000015505	RS_GCF_000015505.1
G000015565	RS_GCF_000015565.1
G000015585	RS_GCF_000015585.1
G000015645	RS_GCF_000015645.1
G000015665	RS_GCF_000015665.1
G000015685	RS_GCF_000015685.1
G000015705	GB_GCA_000015705.1
G000015725	RS_GCF_000015725.1
G000015745	RS_GCF_000015745.1
G000015765	RS_GCF_000015765.1
G000015805	GB_GCA_000015805.1
G000015825	RS_GCF_000015825.1
G000015865	RS_GCF_000015865.1
G000015885	RS_GCF_000015885.1
G000015945	RS_GCF_000015945.1
G000015965	RS_GCF_000015965.1
G000016065	RS_GCF_000016065.1
G000016085	RS_GCF_000016085.1
G000016165	RS_GCF_000016165.1
G000016185	RS_GCF_000016185.1
G000016285	RS_GCF_000016285.1
G000016325	RS_GCF_000016325.1
G000016345	RS_GCF_000016345.1
G000016385	GB_GCA_000016385.1
G000016405	RS_GCF_000016405.1
G000016425	RS_GCF_000016425.1
G000016505	RS_GCF_000016505.1
G000016525	RS_GCF_000016525.1
G000016545	RS_GCF_000016545.1
G000016565	RS_GCF_000016565.1
G000016605	RS_GCF_000016605.1
G000016645	RS_GCF_000016645.1
G000016665	RS_GCF_000016665.1
G000016705	RS_GCF_000016705.1
G000016745	RS_GCF_000016745.1
G000016765	RS_GCF_000016765.1
G000016785	RS_GCF_000016785.1
G000016825	RS_GCF_000016825.1
G000016885	RS_GCF_000016885.1
G000016905	RS_GCF_000016905.1
G000016985	RS_GCF_000016985.1
G000017005	RS_GCF_000017005.1
G000017045	RS_GCF_000017045.1
G000017105	RS_GCF_000017105.1
G000017145	RS_GCF_000017145.1
G000017165	RS_GCF_000017165.1
G000017185	RS_GCF_000017185.1
G000017225	RS_GCF_000017225.1
G000017245	RS_GCF_000017245.1
G000017265	RS_GCF_000017265.1
G000017305	RS_GCF_000017305.1
G000017405	RS_GCF_000017405.1
G000017425	RS_GCF_000017425.1
G000017465	RS_GCF_000017465.2
G000017505	RS_GCF_000017505.1
G000017545	RS_GCF_000017545.1
G000017565	RS_GCF_000017565.1
G000017585	RS_GCF_000017585.1
G000017625	RS_GCF_000017625.1
G000017645	RS_GCF_000017645.1
G000017685	RS_GCF_000017685.1
G000017705	RS_GCF_000017705.1
G000017785	RS_GCF_000017785.1
G000017805	RS_GCF_000017805.1
G000017845	RS_GCF_000017845.1
G000017865	RS_GCF_000017865.1
G000017945	RS_GCF_000017945.1
G000018025	RS_GCF_000018025.1
G000018105	RS_GCF_000018105.1
G000018145	RS_GCF_000018145.1
G000018205	RS_GCF_000018205.1
G000018245	RS_GCF_000018245.1
G000018265	RS_GCF_000018265.1
G000018285	RS_GCF_000018285.1
G000018305	RS_GCF_000018305.1
G000018325	RS_GCF_000018325.1
G000018365	RS_GCF_000018365.1
G000018405	RS_GCF_000018405.1
G000018425	RS_GCF_000018425.1
G000018465	GB_GCA_000018465.1
G000018485	RS_GCF_000018485.1
G000018545	RS_GCF_000018545.1
G000018565	GB_GCA_000018565.1
G000018605	RS_GCF_000018605.1
G000018665	RS_GCF_000018665.1
G000018685	RS_GCF_000018685.1
G000018785	RS_GCF_000018785.1
G000018865	RS_GCF_000018865.1
G000018885	RS_GCF_000018885.1
G000018945	RS_GCF_000018945.1
G000019165	RS_GCF_000019165.1
G000019205	RS_GCF_000019205.1
G000019225	RS_GCF_000019225.1
G000019285	RS_GCF_000019285.1
G000019365	RS_GCF_000019365.1
G000019405	RS_GCF_000019405.1
G000019485	RS_GCF_000019485.1
G000019525	RS_GCF_000019525.1
G000019605	RS_GCF_000019605.1
G000019665	RS_GCF_000019665.1
G000019685	RS_GCF_000019685.1
G000019705	RS_GCF_000019705.1
G000019725	RS_GCF_000019725.1
G000019745	RS_GCF_000019745.1
G000019785	RS_GCF_000019785.1
G000019805	GB_GCA_000019805.1
G000019845	RS_GCF_000019845.1
G000019905	RS_GCF_000019905.1
G000019945	RS_GCF_000019945.1
G000019965	RS_GCF_000019965.1
G000020005	RS_GCF_000020005.1
G000020025	RS_GCF_000020025.1
G000020045	RS_GCF_000020045.1
G000020145	RS_GCF_000020145.1
G000020165	RS_GCF_000020165.1
G000020205	RS_GCF_000020205.1
G000020225	RS_GCF_000020225.1
G000020305	RS_GCF_000020305.1
G000020365	RS_GCF_000020365.1
G000020385	RS_GCF_000020385.1
G000020465	RS_GCF_000020465.1
G000020485	RS_GCF_000020485.1
G000020505	RS_GCF_000020505.1
G000020525	RS_GCF_000020525.1
G000020545	RS_GCF_000020545.1
G000020565	RS_GCF_000020565.1
G000020605	RS_GCF_000020605.1
G000020625	RS_GCF_000020625.1
G000020645	RS_GCF_000020645.1
G000020685	RS_GCF_000020685.1
G000020725	RS_GCF_000020725.1
G000020785	RS_GCF_000020785.1
G000020905	RS_GCF_000020905.1
G000020945	RS_GCF_000020945.1
